bldStatus,bldStatusId,bldBlkTot,bldBlk,bndrywallType,bndryWallTypeId,clsrmsInst,othrooms,clsrmsGd,clsrmsGdPpu,clsrmsGdKuc,clsrmsGdTnt,clsrmsMin,clsrmsMinPpu,clsrmsMinKun,clsrmsMinTnt,clsrmsMaj,clsrmsMajPpu,clsrmsMajKuc,clsrmsMajTnt,toiletYn,toiletb,toiletbFun,toiletg,toiletgFun,toiletbCwsnFun,toiletgCwsnFun,urinalsb,urinalsg,handwashYn,handwashYnDesc,drinkWaterYn,drinkWaterYnDesc,handwashMealYn,handwashMealYnDesc,electricityYn,electricityYnDesc,solarpanelYn,solarpanelYnDesc,libraryYn,libraryYnDesc,playgroundYn,playgroundYnDesc,medchkYn,medchkYnDesc,rampsYn,rampsYnDesc,handrailsYn,handrailsYnDesc,stusHvFurnt,integratedLabYn,tinkeringLabYn,laptopTot,tabletsTot,tabletsFun,desktopFun,digiBoardTot,projectorTot,printerTot,internetYn,internetYnDesc,rainHarvestYnDesc,hmRoomYn,hmRoomYnDesc,ictLabYn,ictLabYnDesc,accessDthYn,accessDthYnDesc,rainHarvestYn,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
3-Government,3,1,1,5-No Boundary walls,5,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2449392,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,N.P.S ATHIA BARI DAKSHIN TOLA
3-Government,3,1,1,2-Pucca but Broken,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2444712,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS JHANTIBARI
3-Government,3,3,3,5-No Boundary walls,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2439333,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS MANIKPUR GHAT
3-Government,3,1,1,5-No Boundary walls,5,5,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,0,0,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2458363,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,PS GACHH BELBARI
4-Government School in a rent free building,4,1,1,5-No Boundary walls,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2440797,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,NPS PURAB PANASI
3-Government,3,1,1,5-No Boundary walls,5,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,3,NA,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2414790,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS PURABTOLA HARWADANGA
3-Government,3,6,6,1-Pucca,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2453200,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,R.K MEMORIAL PUBLIC SCHOOL
3-Government,3,2,2,5-No Boundary walls,5,5,2,5,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,2,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,2,2-No,9,NA,2,2-No,9,2486413,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS BIHARTOLA
3-Government,3,2,2,2-Pucca but Broken,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2441216,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA WOHIDIA MISBAHUL ULOOM BHORADAH
3-Government,3,1,1,2-Pucca but Broken,2,6,0,2,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,45,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2446778,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARSA CHAMANE MUSTAFA TEGHARIA
3-Government,3,3,3,5-No Boundary walls,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2464705,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA ZAHOORIA MAZHARUL ULOOM DESIA TOLI
3-Government,3,8,8,5-No Boundary walls,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2463000,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS AWALGACHH
3-Government,3,1,1,5-No Boundary walls,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2416900,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS JHAPARTAL SHISHAGACHHI
3-Government,3,8,5,5-No Boundary walls,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,1,1-Yes,9,2443026,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,PS GACHPARA BAGHMOHAR COLONY
3-Government,3,2,2,5-No Boundary walls,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2446870,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS MANSAGACHH BHORADAH
3-Government,3,4,2,1-Pucca,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,1,1-Yes,9,2416351,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,N.P.S PURANA MUKHIYA TOLA(CHAKLA)
3-Government,3,2,2,1-Pucca,1,7,1,4,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2421488,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS QURBANTOLA
3-Government,3,4,2,2-Pucca but Broken,2,14,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2410045,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,"R.K.M.S,DEYMARKET,KISHANGANJ"
3-Government,3,0,0,1-Pucca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2447555,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS  KHAJOOR BARI
3-Government,3,1,1,1-Pucca,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2469772,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,PS BINATOLA
3-Government,3,6,6,1-Pucca,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,2,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,60,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2483166,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA CHAMENE MUSTAFA TOTABHITA
3-Government,3,2,1,1-Pucca,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,140,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2449826,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MADARSA ZINATUL QURAN RATWA
3-Government,3,1,1,5-No Boundary walls,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2458780,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,NPS AZAD NAGAR GOWABARI
5-No building,5,0,0,5-No Boundary walls,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2443980,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS MANSURA
3-Government,3,4,4,5-No Boundary walls,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2457921,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS JHIJHILI WORD NO. 5
3-Government,3,1,1,5-No Boundary walls,5,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2439326,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,PS  GAEEN BASTI
3-Government,3,1,1,5-No Boundary walls,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2462513,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS QUAMRUL TOLA DAKSHIN MOHRA
3-Government,3,2,2,5-No Boundary walls,5,8,0,4,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,2,2-No,9,NA,2,2-No,9,2422221,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS RAHIMUNI MILIK PALSA
4-Government School in a rent free building,4,5,3,1-Pucca,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,0,8,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,800,9,2,2,0,0,5,0,0,2,1,1-Yes,NA,1,1-Yes,2,2-No,1,1-Yes,9,2442689,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,R.K SAHA WOMENS INTER COLLEGE KISHANGANJ
3-Government,3,2,2,5-No Boundary walls,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2487599,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA DARASUL QURAN BAGICHA NO 1253
3-Government,3,9,9,1-Pucca,1,9,9,9,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,1,1,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,150,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2417410,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS GHASI KURA
3-Government,3,4,1,4-Hedges,4,8,1,4,2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,40,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2493550,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSHA MADINATUL ULOOM SATKAUWA TOLA DOGIRJA
3-Government,3,1,1,5-No Boundary walls,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2468859,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS AZAMNAGAR KHAIRBARI
3-Government,3,1,1,5-No Boundary walls,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2440795,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,NPS JHILBASTI  2
3-Government,3,5,2,1-Pucca,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2428124,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,NPS MARWA TOLI PASWAN TOLA
3-Government,3,6,6,7-Partial,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2430292,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,PS GANDHU GACCH
3-Government,3,1,1,5-No Boundary walls,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2462990,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,P.S BIRNABARI
3-Government,3,5,5,5-No Boundary walls,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2417878,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS RAJIBASTI
3-Government,3,1,1,1-Pucca,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2426532,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS RAJA MOHRA GIRL
2-Rented,2,11,0,6-Others,6,9,2,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,9,NA,143,9,9,1,0,0,1,0,0,1,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2499201,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,ROYAL PUBLIC SCHOOL
3-Government,3,3,3,1-Pucca,1,10,0,5,0,0,0,3,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2455814,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS CHICHORA
3-Government,3,7,5,1-Pucca,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,0,2,2,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2426327,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA DARUL HODA KASHIPUR
3-Government,3,6,6,5-No Boundary walls,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2474712,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS RAM AADIWASI TOLA
3-Government,3,2,2,5-No Boundary walls,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,180,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2432872,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS AZIM TOLA BISANPUR
3-Government,3,2,1,5-No Boundary walls,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,2,2-No,9,NA,120,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2495412,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA AL-HALAL POTHIMARI
3-Government,3,1,1,5-No Boundary walls,5,7,0,4,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2465235,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,NPS  JHILL BASTI  I
3-Government,3,3,3,5-No Boundary walls,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2479229,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS BIRNDAWAN
4-Government School in a rent free building,4,1,1,5-No Boundary walls,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2482227,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,NPS MASAN DANGI SANTHAL TOLA
3-Government,3,2,1,1-Pucca,1,12,0,2,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,1,1,1,1,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2407186,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,PS GARGAON
3-Government,3,1,1,5-No Boundary walls,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2479228,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS RAMGANJ
1-Private,1,9,9,1-Pucca,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,0,0,0,0,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,9,NA,200,9,9,0,0,0,3,0,2,1,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2449009,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,SANT FRANCIS MIDDLE SCHOOL CHENGMARI
3-Government,3,0,0,1-Pucca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2411691,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,NPS RAM PUR
1-Private,1,5,2,5-No Boundary walls,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2491867,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,MADRASA  AMJADIA KISHANGANJ
3-Government,3,1,1,5-No Boundary walls,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2464810,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS BABHANGAON
1-Private,1,1,0,5-No Boundary walls,5,7,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,85,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,2,2-No,9,NA,2,2-No,9,2431385,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSA DARUL HODA KHARI TOLA
